2025-02-06 22:26:17.553 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:26:18.871 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:26:21.785 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:26:44.294 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:26:47.998 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:26:51.378 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:27:29.008 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:27:31.636 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:27:33.132 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:27:54.660 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W3sZmlsZQ%3D%3D
2025-02-06 22:27:55.249 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:27:58.690 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:28:00.046 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:28:05.696 [info] Executing :w
2025-02-06 22:28:07.016 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:28:10.748 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:28:13.732 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:28:17.060 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
2025-02-06 22:30:24.666 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:30:25.619 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:30:49.989 [info] Executing :w
2025-02-06 22:31:05.309 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-4.ipynb#X12sZmlsZQ%3D%3D
2025-02-06 22:31:06.200 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W4sZmlsZQ%3D%3D
